ID;Lat;Lon;UTM X (m);UTM Y (m);Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;Remarks
2769;-1.6427255;101.1442708;738562.226;9818300.959;870.83;-870.83;2023;1;20;19;21;7.3400001;0.0026226;WCC
2770;-1.6424428;101.1394368;738024.198;9818332.805;900.37;-900.37;2023;1;20;19;21;18.7800007;0.002806;WCC
2771;-1.6411386;101.1519613;739418.43;9818475.564;539.76;-539.76;2023;1;20;19;21;59.9199982;0.0029591;WCC
2772;-1.6426567;101.1448568;738627.46;9818308.499;1003.23;-1003.23;2023;1;20;19;22;12.1400003;0.0025721;WCC
2773;-1.6389772;101.1540609;739652.391;9818714.384;368.91;-368.91;2023;1;20;19;22;39.9599991;0.0004302;WCC
2774;-1.6433253;101.1396647;738049.46;9818235.165;1061.51;-1061.51;2023;1;20;19;22;45.2799988;0.0022058;WCC
2775;-1.6448733;101.1354248;737577.345;9818064.449;805.6;-805.6;2023;1;20;19;23;0.96;0.001859;WCC
2776;-1.6461075;101.1428711;738406.027;9817927.047;455.97;-455.97;2023;1;20;19;23;6.8200002;0.0037908;WCC
2777;-1.641453;101.1392741;738006.205;9818442.304;771.69;-771.69;2023;1;20;19;24;26.9599991;0.0028428;WCC
2778;-1.6446753;101.1275553;736701.439;9818087.285;501.01;-501.01;2023;1;20;19;24;30.9200001;0.0390857;Reloc
2779;-1.6460302;101.1290365;736866.147;9817937.247;676.39;-676.39;2023;1;20;19;24;45.2000008;0.0413028;Reloc
2780;-1.6483732;101.1377523;737835.997;9817677.054;429.42;-429.42;2023;1;20;19;24;52.1199989;0.0541098;Reloc
2781;-1.63160683;101.1776838;742282.738;9819526.786;-1446.023;1446.023;2023;1;20;19;24;59.693129;0.027066;Initial
2782;-1.6396484;101.1518962;739411.361;9818640.402;630.64;-630.64;2023;1;20;19;25;16.0599995;0.0027254;WCC
2783;-1.6490952;101.128068;736757.984;9817598.35;-249.8;249.8;2023;1;20;19;26;19.5200005;0.0608487;Reloc
2784;-1.6343641;101.1565023;739924.689;9819224.345;776.63;-776.63;2023;1;20;19;26;40.2000008;0.0636059;Reloc
2785;-1.6461159;101.1467041;738832.668;9817925.659;853.82;-853.82;2023;1;20;19;26;53.5600014;0.0026402;WCC
2786;-1.6413382;101.1442708;738562.39;9818454.406;652.08;-652.08;2023;1;20;19;28;3.1600001;0.0031711;WCC
2787;-1.6432236;101.1396647;738049.472;9818246.414;680.45;-680.45;2023;1;20;19;28;27.3400002;0.0028275;WCC
2788;-1.641378;101.14375;738504.417;9818450.066;836.5;-836.5;2023;1;20;19;28;29.2800007;0.0030603;WCC
2789;-1.6409027;101.1440186;738534.37;9818502.607;663.91;-663.91;2023;1;20;19;28;39.9199982;0.0028838;WCC
2790;-1.6457845;101.1430827;738429.618;9817962.749;765.32;-765.32;2023;1;20;19;29;12.6400003;0.0020535;WCC
2791;-1.643078;101.1418376;738291.35;9818262.26;869.27;-869.27;2023;1;20;19;29;38.1599998;0.0032006;WCC
2792;-1.6418419;101.1442708;738562.331;9818398.693;794.42;-794.42;2023;1;20;19;30;28.6399994;0.0021943;WCC
2793;-1.6418341;101.1417074;738277.005;9818399.861;743.87;-743.87;2023;1;20;19;30;43.7999992;0.0028731;WCC
2794;-1.6451663;101.1334961;737362.633;9818032.271;534.48;-534.48;2023;1;20;19;30;58.5600014;0.0015331;WCC
2795;-1.6334115;101.1566243;739938.382;9819329.697;125.54;-125.54;2023;1;20;19;31;4.3600001;0.0706326;Reloc
2796;-1.6423969;101.1478434;738959.924;9818336.878;558.69;-558.69;2023;1;20;19;31;9.8400001;0.0024501;WCC
2797;-1.6419398;101.143099;738431.889;9818388.004;903.31;-903.31;2023;1;20;19;31;49.6800003;0.0027962;WCC
2798;-1.6418688;101.149113;739101.304;9818395.138;784.33;-784.33;2023;1;20;19;32;3.78;0.0031892;WCC
2799;-1.6420898;101.1442871;738564.116;9818371.271;774.1;-774.1;2023;1;20;19;32;9;0.0030019;WCC
2800;-1.6414333;101.14139;738241.724;9818444.231;913.2;-913.2;2023;1;20;19;32;20.8799992;0.0030892;WCC
2801;-1.6425485;101.1402018;738109.336;9818321.022;758.56;-758.56;2023;1;20;19;32;52.8800011;0.0026491;WCC
2802;-1.6416401;101.1434733;738473.587;9818421.109;746.64;-746.64;2023;1;20;19;32;59.2799988;0.003168;WCC
2803;-1.6426266;101.1417399;738280.529;9818312.2;937.56;-937.56;2023;1;20;19;33;9.7399998;0.002911;WCC
2804;-1.6428251;101.1372314;737778.675;9818290.782;735.58;-735.58;2023;1;20;19;33;34.5400009;0.002268;WCC
2805;-1.6420769;101.1497721;739174.642;9818372.042;841.49;-841.49;2023;1;20;19;33;47.9199982;0.003605;WCC
2806;-1.6433133;101.1385824;737928.994;9818236.622;876.7;-876.7;2023;1;20;19;33;53.8800011;0.0022715;WCC
2807;-1.640571;101.1475749;738930.255;9818538.871;700.51;-700.51;2023;1;20;19;34;15.7200003;0.002783;WCC
2808;-1.6460911;101.1286296;736820.849;9817930.559;-469.65;469.65;2023;1;20;19;34;33.1399994;0.0360878;Reloc
2809;-1.6444352;101.134847;737513.084;9818112.975;632.6;-632.6;2023;1;20;19;34;48.2000008;0.0016252;WCC
2810;-1.6413678;101.1430176;738422.896;9818451.282;636.37;-636.37;2023;1;20;19;34;58.1599998;0.0030628;WCC
2811;-1.6424828;101.1473145;738901.043;9818327.44;972.27;-972.27;2023;1;20;19;35;21.0400009;0.0029248;WCC
2812;-1.6413751;101.1419759;738306.946;9818450.599;924.75;-924.75;2023;1;20;19;35;48.2400017;0.0028597;WCC
2813;-1.6416466;101.1450358;738647.505;9818420.203;762.27;-762.27;2023;1;20;19;36;32.6399994;0.0032203;WCC
2814;-1.6436033;101.1447998;738621.003;9818203.803;873.97;-873.97;2023;1;20;19;36;50.8199997;0.0029904;WCC
2815;-1.6419486;101.1423991;738353.983;9818387.114;772.55;-772.55;2023;1;20;19;43;50.4399986;0.0033016;WCC
2816;-1.6422577;101.1432373;738447.245;9818352.825;894.34;-894.34;2023;1;20;19;43;54.9599991;0.0031058;WCC
2817;-1.6408337;101.1442383;738558.833;9818510.212;738.36;-738.36;2023;1;20;19;49;56.5600014;0.0030112;WCC
2818;-1.6424664;101.1447347;738613.892;9818329.562;878.98;-878.98;2023;1;20;19;53;30.7199993;0.0028965;WCC
2819;-1.641452;101.1435059;738477.238;9818441.91;806.42;-806.42;2023;1;20;19;57;15.2799997;0.0021681;WCC
2820;-1.6419196;101.143278;738451.815;9818390.217;617.33;-617.33;2023;1;20;19;57;23.7000008;0.0028247;WCC
2821;-1.6404704;101.1435303;738480.07;9818550.481;760;-760;2023;1;20;20;23;4.6599999;0.0025979;WCC
2822;-1.6412266;101.140682;738162.942;9818467.178;810.85;-810.85;2023;1;21;1;56;37.2400017;0.0028989;WCC
2823;-1.6390172;101.1480876;738987.507;9818710.674;847.84;-847.84;2023;1;30;17;30;4.7600002;0.0024143;WCC
2824;-1.6417568;101.1394124;738021.563;9818408.685;801.19;-801.19;2023;1;30;17;30;40.7400017;0.0028575;WCC
2825;-1.645202;101.1282227;736775.663;9818028.949;-53;53;2023;2;18;22;35;10.7399998;0.0013399;WCC
2826;-1.6384186;101.1438395;738514.729;9818777.391;839.06;-839.06;2023;2;18;22;38;25.9799995;0.002629;WCC
2827;-1.6409776;101.1427246;738390.329;9818494.476;678.49;-678.49;2023;2;18;22;38;33.4799995;0.0028889;WCC
2828;-1.6448689;101.1305664;737036.572;9818065.514;193.7;-193.7;2023;2;18;22;39;5.52;0.0028255;WCC
2829;-1.6468421;101.1359701;737637.808;9817846.619;398.79;-398.79;2023;2;26;15;14;57.7700005;0.0032034;WCC
2830;-1.6464656;101.132609;737263.739;9817888.663;13.39;-13.39;2023;2;27;22;34;12;0.0014587;WCC
