736768.028	9817664.184	-174.19
736701.439	9818087.285	501.01
736866.147	9817937.247	676.39
737835.997	9817677.054	429.42
736757.984	9817598.35	-249.8
739924.689	9819224.345	776.63
739938.382	9819329.697	125.54
736820.849	9817930.559	-469.65
738509.248	9818730.886	1382.66
737516.394	9817815.712	740.32
738136.64	9817595.854	820.24
737514.397	9813469.13	649.26
736915.545	9822700.078	-65.63
736700.915	9821884.15	171.85
734172.698	9822698.325	6674.29
734909.882	9822552.229	5521.31
736954.96	9812963.701	1465.48
737114.471	9817219.468	-1252.97
736428.81	9818102.441	-304.69
737524.628	9817896.171	732.36
737454.808	9816150.406	6549.35
737237.351	9816926.733	4895.2
736877.82	9816161.282	5598.21
737109.39	9812544.249	2196.94
736132.078	9819309.948	209.1
739446.133	9818970.589	947.03
733050.367	9823570.105	7227.44
734004.778	9821487.075	5401.45
739297.22	9818635.758	37.02
741111.653	9819514.017	-232.47
736757.082	9818443.095	-16.04
736748.079	9818496.23	-655.42
738005.756	9818023.198	466.9
741942.919	9811054.328	7716.96
744114.139	9811028.686	-1800.77
742529.885	9811055.201	7488.01
745655.864	9811030.758	-1114.55
737258.82	9818368.73	837.87
737657.772	9817884.514	-270.62
739293.598	9818641.203	196.33
741150.44	9818520.924	-130.64
739285.943	9818261.268	1018.76
